Country,Age,Salary,Purchased
France,44,72000,No
Spain,27,48000,Yes
Germany,30,54000,No
Spain,38,61000,No
Germany,40,55000,Yes
France,35,58000,Yes
Spain,22,52000,No
France,48,79000,Yes
Germany,50,51000,No
France,37,67000,Yes
France,42,72000,No
Spain,27,54000,Yes
Germany,33,50000,No
Spain,38,61000,No
Germany,40,54000,No
France,45,58000,Yes
Spain,22,52000,No
France,50,67000,No
Germany,50,83000,No
France,37,67000,Yes
France,44,54000,No
Spain,27,49000,Yes
France,44,76000,No
Spain,27,49000,Yes
Germany,30,54000,No
Spain,38,55000,No
Spain,38,61000,No
Germany,40,55000,Yes
Germany,40,54000,Yes
France,35,58000,Yes
Spain,22,52000,No
France,48,54000,Yes
Germany,50,55000,No
France,48,52000,Yes
Germany,50,50000,No
France,37,50000,Yes
France,42,72000,No
Spain,27,55000,Yes
France,37,55000,Yes
Spain,27,53000,Yes
Spain,27,51000,Yes
Germany,33,53000,No
Germany,33,51000,No
France,37,56000,Yes
Spain,38,61000,No
Germany,40,54000,No
France,45,58000,Yes
Spain,22,52000,No
France,50,51000,No
Germany,50,52000,No
France,37,67000,Yes
Spain,22,53000,No
France,50,53000,No
Germany,50,53000,No
France,37,53000,Yes
France,42,55000,No
France,37,55000,Yes
France,37,56000,Yes
France,37,56000,Yes
France,37,56000,Yes
Germany,33,55000,No
France,45,56000,Yes
Spain,22,56000,No
France,50,56000,No
Germany,50,58000,No
France,37,67000,Yes
,,,
France,37,56000,Yes
Spain,38,58000,No
Germany,40,56000,No
France,45,58000,Yes
Spain,22,58000,No
France,50,56000,No
Germany,50,57000,No
France,37,56000,Yes
Spain,22,56000,No
France,37,67000,Yes
Spain,22,57000,No
France,50,59000,No
Germany,50,58000,No
France,37,57000,Yes
France,42,58000,No
France,37,57000,Yes
France,37,58000,Yes
France,37,59000,Yes
France,37,56000,Yes
Germany,33,57000,No
Germany,50,58000,No
France,37,58000,Yes
France,42,60000,No
France,37,58000,Yes
France,37,59000,Yes
France,37,60000,Yes
France,37,60000,Yes
Germany,33,58000,No
France,45,59000,Yes
Spain,22,57000,No
Spain,22,82000,No
France,37,56000,Yes
France,37,57000,Yes
Germany,33,54800,No
France,45,58000,Yes
Spain,22,58000,No
France,37,57000,Yes
France,37,57000,Yes
Germany,33,57000,No
France,45,57000,Yes
Spain,22,57000,No
Spain,22,56000,No
France,37,57000,Yes
Spain,22,57000,No
France,50,57000,No
Germany,50,57000,No
France,37,52000,Yes
France,42,55000,No
France,37,59000,Yes
France,37,58000,Yes
France,37,59000,Yes
France,37,54000,Yes
Germany,33,55000,No
Germany,50,57000,No
France,37,54000,Yes
France,42,53000,No
France,37,59000,Yes
Spain,22,60000,No
Spain,22,60000,No
France,37,60000,Yes
Spain,22,60000,No
France,50,60000,No
Germany,50,60000,No
France,37,60000,Yes
France,42,60000,No
France,37,60000,Yes
France,37,60000,Yes
France,37,60000,Yes
France,37,60000,Yes
Germany,33,60000,No
Germany,50,60000,No
France,37,60000,Yes
France,42,60000,No
France,37,81000,Yes
France,42,84000,No
Spain,22,61000,No
Spain,22,61000,No
France,37,58000,Yes
Spain,22,61000,No
France,50,58000,No
Germany,50,61000,No
France,37,58000,Yes
France,42,59000,No
France,37,59000,Yes
France,37,59000,Yes
France,37,61000,Yes
France,37,59000,Yes
Germany,33,59000,No
Germany,50,59000,No
France,37,61000,Yes
France,42,59000,No
France,37,58900,Yes
France,37,59000,Yes
Germany,50,59000,No
Germany,50,59000,No
Germany,50,59000,No
Germany,50,59000,No
Germany,50,59000,No
Germany,50,59000,No
Germany,50,59000,No
Germany,50,59000,No
France,42,60000,No
France,37,61000,Yes
France,37,60000,Yes
France,37,61000,Yes
France,37,60000,Yes
France,37,60000,Yes
Spain,22,62000,No
France,50,60000,No
Germany,50,62000,No
France,37,63000,Yes
France,42,63000,No
France,37,62000,Yes
France,37,63000,Yes
France,37,62000,Yes
France,37,63000,Yes
Germany,33,62000,No
Germany,50,63000,No
France,37,62000,Yes
France,42,63000,No
Germany,50,64000,No
France,37,64000,Yes
Germany,33,64000,No
France,45,64000,Yes
Spain,22,64000,No
France,37,64000,Yes
France,37,64000,Yes
Germany,33,65000,No
France,45,65000,Yes
Spain,22,65000,No
Spain,22,65000,No
France,37,65000,Yes
Spain,22,66000,No
France,50,66000,No
Germany,50,66000,No
France,37,66000,Yes
France,37,64000,Yes
Spain,22,63000,No
France,37,63000,Yes
France,37,63000,Yes
Germany,33,63000,No
France,45,63000,Yes
Spain,22,63000,No
Spain,22,63000,No
France,37,63000,Yes
Spain,22,64000,No
France,50,64000,No
Germany,50,64000,No
Germany,50,64000,No
Spain,22,62000,No
France,37,62000,Yes
France,37,62000,Yes
Germany,33,62000,No
France,45,62000,Yes
Spain,22,63000,No
Spain,22,62000,No
France,37,62000,Yes
Spain,22,61000,No
France,50,61000,No
Germany,50,61000,No
Germany,50,64000,No
France,42,61000,No
France,37,61000,Yes
France,37,61000,Yes
France,37,61000,Yes
France,37,61000,Yes
Germany,33,61000,No
Germany,50,61000,No
France,37,61000,Yes
France,42,62000,No
France,37,62000,Yes
France,37,62000,Yes
Germany,50,62000,No
Germany,50,62000,No
Germany,50,62000,No
Germany,50,60000,No
Germany,50,60000,No
Germany,50,60000,No
Germany,50,67000,No
Germany,33,63000,No
France,45,63000,Yes
Spain,22,62000,No
Spain,22,63000,No
France,37,63000,Yes
Spain,22,62000,No
France,50,64000,No
Germany,50,64000,No
Germany,50,64000,No
France,42,65000,No
France,37,65000,Yes
France,37,65000,Yes
France,37,65000,Yes
France,37,65000,Yes
Germany,33,65000,No
France,37,67000,Yes
Spain,22,65000,No
France,37,65000,Yes
France,37,65000,Yes
Germany,33,65000,No
France,45,65000,Yes
Spain,22,64000,No
Spain,22,67000,No
Germany,33,66000,No
France,45,66000,Yes
Spain,22,66000,No
Spain,22,66000,No
France,37,67000,Yes
Spain,22,70000,No
France,50,67000,No
Germany,50,67000,No
Germany,50,68000,No
France,42,68000,No
France,42,53000,No
Spain,22,68000,No
Spain,22,66000,No
France,50,66000,No
Germany,50,66000,No
Germany,50,66000,No
Spain,22,66000,No
France,37,69000,Yes
Spain,22,64000,No
France,50,71000,No
Germany,50,70000,No
Germany,50,70000,No
France,42,70000,No
France,37,70000,Yes
Spain,22,69000,No
France,37,69000,Yes
Spain,22,69000,No
France,50,70000,No
Germany,50,70000,No
Spain,22,69000,No
France,37,69000,Yes
Spain,22,68000,No
France,50,68000,No
Germany,50,68000,No
Spain,22,67000,No
France,50,68000,No
Germany,50,69000,No
Germany,50,68000,No
Germany,50,69000,No
Germany,50,68000,No
Germany,50,68000,No
Germany,33,74000,No
Germany,50,71000,No
Germany,33,74000,No
France,45,71000,Yes
Spain,22,71000,No
Spain,22,73000,No
France,37,73000,Yes
Spain,22,73000,No
France,50,74000,No
Germany,50,74000,No
Germany,50,75000,No
France,42,75000,No
Germany,50,73000,No
Spain,22,73000,No
France,50,72000,No
France,45,71000,Yes
Spain,22,72000,No
