RD,Admin,Marketing,State,Office,Profit
165349.2,136897.8,471784.1,New York,1890.76159,192261.83
162597.7,151377.59,443898.53,California,2020.122059,191792.06
153441.51,101145.55,407934.54,Florida,3871.325291,191050.39
144372.41,118671.85,383199.62,New York,6647.132636,182901.99
142107.34,91391.77,366168.42,Florida,1612.325085,166187.94
131876.9,99814.71,362861.36,New York,8984.680313,156991.12
134615.46,147198.87,127716.82,California,2728.895188,156122.51
130298.13,145530.06,323876.68,Florida,2606.492532,155752.6
120542.52,148718.95,256512.92,New York,9990.061551,152211.77
123334.88,108679.17,261776.23,California,3850.590612,149759.96
101913.08,110594.11,229160.95,Florida,2704.913259,146121.95
120542.52,148718.95,311613.29,New York,8890.803832,152211.77
123334.88,108679.17,304981.62,California,9424.51956,149759.96
100671.96,91790.61,249744.55,California,9261.699789,144259.4
93863.75,127320.38,249839.44,Florida,1116.843781,141585.52
91992.39,135495.07,252664.93,California,8218.505046,134307.35
119943.24,156547.42,256512.92,Florida,8824.467457,132602.65
114523.61,122616.84,261776.23,New York,9992.326627,129917.04
76253.86,113867.3,127716.82,California,3488.894963,118474.03
78013.11,121597.55,264346.06,California,8726.667089,126992.93
94657.16,145077.58,282574.31,New York,3954.457618,125370.37
91749.16,114175.79,294919.57,Florida,1724.625593,124266.9
86419.7,153514.11,153773.43,New York,8032.576891,122776.86
76253.86,113867.3,298664.47,California,7335.833512,118474.03
78389.47,153773.43,299737.29,New York,8627.991256,111313.02
73994.56,122782.75,303319.26,Florida,7888.625678,110352.25
67532.53,105751.03,304768.73,Florida,7495.617376,108733.99
77044.01,99281.34,140574.81,New York,6131.835971,108552.04
64664.71,139553.16,137962.62,California,6141.57137,107404.34
75328.87,144135.98,134050.07,Florida,4643.099148,105733.54
72107.6,127864.55,353183.81,New York,4991.096234,105008.31
66051.52,182645.56,118148.2,Florida,7318.983303,103282.38
65605.48,153032.06,107138.38,New York,7829.902493,101004.64
61994.48,115641.28,91131.24,Florida,9377.4566,99937.59
61136.38,152701.92,88218.23,New York,1203.778318,97483.56
63408.86,129219.61,46085.25,California,7737.56305,97427.84
55493.95,103057.49,214634.81,Florida,4062.249561,96778.92
46426.07,157693.92,210797.67,California,4225.641665,96712.8
46014.02,85047.44,205517.64,New York,6820.166129,96479.51
28663.76,127056.21,201126.82,Florida,7791.016549,90708.19
38558.51,82982.09,174999.3,California,6113.522129,81005.76
44069.95,154806.14,197029.42,California,3924.522673,89949.14
46426.07,157693.92,164470.71,California,4219.35337,96712.8
46014.02,85047.44,205517.64,New York,7081.921483,96479.51
20229.59,65947.93,185265.1,New York,6130.732636,81229.06
38558.51,82982.09,174999.3,California,3352.548077,81005.76
28754.33,118546.05,172795.67,California,9669.821923,78239.91
27892.92,84710.77,164470.71,Florida,4455.768581,77798.83
23640.93,96189.63,148001.11,California,1450.928091,71498.49
15505.73,127382.3,35534.17,New York,1361.363973,69758.98
22177.74,154806.14,28334.72,California,7010.166953,65200.33
1000.23,124153.04,1903.93,New York,8768.932551,64926.08
1315.46,115816.21,297114.46,Florida,1771.699483,49490.75
23640.93,135426.92,174999.3,California,1313.527245,42559.73
542.05,51743.15,164470.71,New York,3950.459708,35673.41
28663.76,116983.8,45173.06,California,8764.27956,14681.4
38558.51,124153.04,140574.81,New York,2963.874609,69758.98
23640.93,65947.93,137962.62,California,1175.897026,96712.8
46014.02,154806.14,205517.64,California,1223.974125,77798.83
46014.02,124153.04,35534.17,California,7149.658112,69758.98
